bps_nama_kecamatan,2017-1,2017-2,2018-1,2018-2,2019-1,2019-2,2020-1,2020-2,2021-1,2021-2,2022-1,2022-2,2023-1,2023-2
ANDIR,9543,31524,30011,31805,31416,31118,31079,31939,31894,31894,34741,31521,21668,28258
ANTAPANI,7489,22874,22044,23681,23452,23488,23397,24122,24445,24312,25886,24762,17459,21623
ARCAMANIK,6982,23852,22913,24619,24561,24520,24609,25382,25806,25758,27866,26202,18395,23445
ASTANAANYAR,7310,22734,21548,23146,22814,22676,22586,23096,22913,22727,24701,22712,15786,20546
BABAKAN CIPARAY,16971,45847,44339,47973,47079,47243,47280,49555,49972,49972,53872,50041,35212,44600
BANDUNG KIDUL,5403,19257,18822,19866,19732,19549,19559,20003,20014,19902,21757,20141,13664,18066
BANDUNG KULON,14545,45692,43027,45849,44982,44911,45014,46952,47088,46576,50249,46581,32468,41878
BANDUNG WETAN,2814,8562,8138,8617,8521,8426,8450,8578,8565,8565,9519,8610,5970,7864
BATUNUNGGAL,11605,38155,37355,39329,39004,38640,38645,39564,39515,39192,42761,39243,26823,35148
BOJONGLOA KALER,11964,40892,38942,41685,41143,40910,40769,42098,42232,42232,45421,41956,29264,37316
BOJONGLOA KIDUL,8864,28484,27078,29003,28636,28555,28615,29671,29678,29476,31867,29804,20765,26593
BUAHBATU,11064,31853,30329,32634,32314,32250,32217,33197,33412,33117,35621,33686,23502,30261
CIBEUNYING KALER,7552,21696,20589,21909,21736,21600,21542,22252,22246,22123,24024,22254,15426,20091
CIBEUNYING KIDUL,10577,35444,33681,35972,35923,35823,35565,36760,36817,36471,39723,36791,25608,33114
CIBIRU,8240,25009,23452,24989,24486,24561,24560,25607,25942,25705,27784,26091,18213,23555
CICENDO,9916,29521,28543,30411,30113,30005,29993,30651,30638,30638,33622,30472,21035,27521
CIDADAP,5562,16979,16358,17114,17065,16915,17000,17487,17595,17595,18991,17477,12212,15829
CINAMBO,2511,8278,8036,8419,8315,8270,8311,8518,8561,8469,9023,8573,5973,7721
COBLONG,11442,35128,33740,35749,35616,35612,35541,36723,36941,36941,40123,37014,25946,33092
GEDEBAGE,3936,13111,12901,13711,13525,13495,13533,13925,14000,13958,15213,14216,9991,12859
KIARACONDONG,12022,40746,40095,42539,42350,42002,41755,42788,42974,42471,45800,42519,29494,38028
LENGKONG,7102,21392,20355,21563,21544,21514,21466,21872,21760,21666,24193,21840,15061,20221
MANDALAJATI,7452,23091,22202,23788,23628,23746,23768,24621,24919,24731,26652,25214,17753,22590
PANYILEUKAN,3642,12290,11692,12263,12223,12021,12142,12461,12540,12412,13332,12595,8515,11142
RANCASARI,8590,26060,24995,26547,26369,26609,26615,27417,27708,27710,29808,28203,19687,25097
REGOL,7981,24702,23360,24783,24505,24350,24263,24837,24783,24554,26774,24676,17015,22247
SUKAJADI,9622,32068,30651,32504,32211,32040,32161,33000,33040,33040,35854,33124,22872,29422
SUKASARI,7186,22889,22669,23898,23621,23560,23639,24296,24303,24303,26395,24233,16802,21901
SUMUR BANDUNG,3248,11290,10871,11658,11735,11859,11786,12165,12041,12147,13829,12894,9315,12270
UJUNG BERUNG,9731,28143,27219,29130,28939,29092,29131,30141,30384,30324,32955,30994,21802,27880
